company_id,laptop_id
200,919
200,1117
200,919
200,1290
200,1190
201,895
201,1318
201,1268
201,1318
201,1290
202,1296
202,1310
202,563
202,1272
202,128
203,1268
203,383
203,128
203,69
203,1272
204,1292
204,128
204,1282
204,437
204,919
205,383
205,21
205,69
205,1282
205,1318
206,1282
206,1310
206,346
206,703
206,1076
207,21
207,1306
207,1306
207,128
207,895
208,960
208,1290
208,490
208,1320
208,1233
209,1292
209,703
209,895
209,1306
209,437
210,128
210,653
210,1306
210,414
210,653
211,346
211,1105
211,1268
211,1105
211,1290
212,1233
212,582
212,383
212,1076
212,1105
213,703
213,437
213,919
213,414
213,1306
214,1282
214,1233
214,1310
214,1268
214,895
215,919
215,1190
215,1233
215,1268
215,437
216,919
216,21
216,1318
216,1105
216,383
217,383
217,582
217,414
217,895
217,1272
218,21
218,1306
218,1282
218,1290
218,1318
219,1310
219,346
219,1320
219,128
219,1296
220,1076
220,383
220,352
220,128
220,1233
221,346
221,490
221,563
221,1290
221,1320
222,1233
222,1296
222,563
222,1117
222,1117
223,1320
223,1296
223,633
223,128
223,895
224,1292
224,414
224,352
224,1272
224,1233
225,919
225,21
225,1272
225,437
225,1076
226,1105
226,21
226,21
226,1076
226,1190
227,490
227,1076
227,1318
227,69
227,1306
228,1190
228,490
228,895
228,1318
228,653
229,414
229,1304
229,1292
229,346
229,352
230,919
230,960
230,1076
230,346
230,582
231,414
231,1282
231,563
231,437
231,1320
232,1117
232,69
232,1292
232,1320
232,703
233,490
233,1190
233,582
233,1282
233,653
234,1268
234,633
234,563
234,703
234,490
235,1296
235,895
235,346
235,1306
235,895
236,69
236,1282
236,1190
236,1233
236,1076
237,437
237,895
237,437
237,1310
237,1190
238,563
238,633
238,1272
238,919
238,352
239,1190
239,1282
239,895
239,128
239,1320
240,895
240,1076
240,633
240,128
240,352
241,346
241,703
241,437
241,414
241,919
242,1304
242,1190
242,128
242,490
242,1105
243,1320
243,352
243,1290
243,490
243,1310
244,1272
244,1282
244,1105
244,1304
244,1292
245,1268
245,1268
245,919
245,1292
245,1304
246,1320
246,1310
246,1310
246,1304
246,1233
247,1282
247,895
247,563
247,563
247,653
248,1268
248,1306
248,563
248,1304
248,1318
249,919
249,960
249,1296
249,1282
249,1296
250,703
250,21
250,1272
250,1306
250,414
251,1076
251,1272
251,1318
251,383
251,1304
252,1105
252,960
252,1190
252,1282
252,383
253,1304
253,1268
253,1304
253,1296
253,1310
254,1290
254,1268
254,703
254,1318
254,1304
255,1304
255,653
255,1318
255,1105
255,346
256,128
256,1304
256,1306
256,1272
256,582
257,128
257,1296
257,346
257,919
257,437
258,21
258,352
258,1320
258,128
258,1290
259,128
259,895
259,960
259,919
259,1310
260,1268
260,1190
260,960
260,563
260,383
261,383
261,1318
261,633
261,21
261,919
262,352
262,1105
262,1268
262,128
262,1190
263,346
263,128
263,352
263,352
263,490
264,1310
264,383
264,1105
264,1320
264,414
265,1310
265,653
265,414
265,653
265,1304
266,346
266,1310
266,1318
266,1268
266,633
267,919
267,21
267,1282
267,1296
267,703
268,346
268,128
268,437
268,128
268,414
269,1105
269,1190
269,1292
269,1292
269,69
270,69
270,1117
270,1296
270,563
270,1304
271,919
271,1105
271,1268
271,69
271,352
272,490
272,1190
272,1076
272,1290
272,414
273,1318
273,1296
273,1318
273,346
273,1272
274,960
274,128
274,69
274,1105
274,1190
275,919
275,352
275,1304
275,352
275,582
276,437
276,352
276,1292
276,1190
276,1306
277,895
277,352
277,21
277,1076
277,1268
278,1304
278,383
278,653
278,128
278,21
279,352
279,1076
279,563
279,1304
279,383
280,703
280,895
280,128
280,1296
280,960
281,1290
281,1076
281,633
281,1282
281,1318
282,1296
282,1190
282,1076
282,1233
282,1296
283,437
283,1304
283,383
283,346
283,1117
284,383
284,1282
284,919
284,703
284,1190
285,1282
285,490
285,1268
285,960
285,653
286,1105
286,1105
286,1268
286,1076
286,128
287,1290
287,633
287,1268
287,1310
287,919
288,1076
288,563
288,1190
288,895
288,633
289,1290
289,414
289,1290
289,490
289,352
290,1233
290,1105
290,414
290,1272
290,1076
291,1310
291,1268
291,1272
291,1292
291,21
292,1117
292,1076
292,1268
292,437
292,21
293,1292
293,1292
293,414
293,1318
293,1105
294,895
294,1282
294,1282
294,1320
294,1233
295,437
295,1233
295,1306
295,1105
295,1290
296,128
296,633
296,1310
296,1105
296,1318
297,490
297,633
297,919
297,1076
297,960
298,919
298,703
298,1320
298,582
298,437
299,1076
299,1304
299,1306
299,383
299,1117
